key,us,br
COLLECTED_SOULS,Collected souls,Almas coletadas
IDIOMA,Language,Idioma
FULLSCREEN,Fullscreen,Tela cheia
HABILITADO,Enabled,Habilitado
PAUSED,Paused,Pausado
COINS,Coins,Moedas
BACK_TO_MAIN_MENU,Back to main menu,Voltar para menu principal
BACK_TO_SHOP,Back to shop,Voltar para loja
QUIT,Quit,Sair
SAVE,Save,Salvar
COINS_COLLECTED,Coins Collected,Moedas Coletadas
TIME_SURVIVED,Time Survived,Tempo de Sobrevivência
WON_TEXT,"You have collected enough souls, now the hell is full again.\nYou can go back on the shop and all weapons are unlocked.\nEnjoy!","Você coletou almas suficientes e o inferno está cheio.\nVocê pode retornar na loja e todas as armas estão desbloqueadas.\nAproveite!"
